green_minimum,amber_minimum,released,auto_released,amber,red,auto_release_rate,auto_released_errors,auto_released_error_rate,review_load,review_load_rate
0.6,0.5,137,70,56,11,0.3382,4,0.0571,137,0.6618
0.6,0.55,137,70,53,14,0.3382,4,0.0571,137,0.6618
0.65,0.5,137,54,72,11,0.2609,2,0.037,153,0.7391
0.65,0.55,137,54,69,14,0.2609,2,0.037,153,0.7391
0.65,0.6,137,54,60,23,0.2609,2,0.037,153,0.7391
0.7,0.5,137,30,96,11,0.1449,2,0.0667,177,0.8551
0.7,0.55,137,30,93,14,0.1449,2,0.0667,177,0.8551
0.7,0.6,137,30,84,23,0.1449,2,0.0667,177,0.8551
0.7,0.65,137,30,68,39,0.1449,2,0.0667,177,0.8551
0.75,0.5,137,24,102,11,0.1159,1,0.0417,183,0.8841
0.75,0.55,137,24,99,14,0.1159,1,0.0417,183,0.8841
0.75,0.6,137,24,90,23,0.1159,1,0.0417,183,0.8841
0.75,0.65,137,24,74,39,0.1159,1,0.0417,183,0.8841
0.75,0.7,137,24,50,63,0.1159,1,0.0417,183,0.8841
0.8,0.5,137,15,111,11,0.0725,0,0.0,192,0.9275
0.8,0.55,137,15,108,14,0.0725,0,0.0,192,0.9275
0.8,0.6,137,15,99,23,0.0725,0,0.0,192,0.9275
0.8,0.65,137,15,83,39,0.0725,0,0.0,192,0.9275
0.8,0.7,137,15,59,63,0.0725,0,0.0,192,0.9275
0.85,0.5,137,6,120,11,0.029,0,0.0,201,0.971
0.85,0.55,137,6,117,14,0.029,0,0.0,201,0.971
0.85,0.6,137,6,108,23,0.029,0,0.0,201,0.971
0.85,0.65,137,6,92,39,0.029,0,0.0,201,0.971
0.85,0.7,137,6,68,63,0.029,0,0.0,201,0.971
0.9,0.5,137,2,124,11,0.0097,0,0.0,205,0.9903
0.9,0.55,137,2,121,14,0.0097,0,0.0,205,0.9903
0.9,0.6,137,2,112,23,0.0097,0,0.0,205,0.9903
0.9,0.65,137,2,96,39,0.0097,0,0.0,205,0.9903
0.9,0.7,137,2,72,63,0.0097,0,0.0,205,0.9903
