account_id,label,segment,region,released,abstained,blocked,outcome,correct,route,route_codes,confidence,margin,path,verification_passed,verification_attempts,unsupported_numeric_claims,cited_documents,citation_precision,wrong_account_citations,post_cutoff_citations,counterevidence,driver_overlap,conflict_triggered,tot_ran,retrieval_retried,latency_ms,prompt_tokens,completion_tokens,model_calls,errors
ACC-1001,Churned,Mid-Market,NA,True,False,False,Churned,True,amber,confidence_below_green,0.83633,0.593086,fast,True,1,0,11,1.0,0,0,0,0.5,False,False,False,5276.8,0,0,0,0
ACC-1002,Renewed,Mid-Market,NA,True,False,False,Renewed,True,amber,stale_sources,0.920726,0.917109,tree_of_thought,True,1,0,3,1.0,0,0,1,0.5,True,True,False,125.1,0,0,0,0
ACC-1003,Contracted,Mid-Market,NA,True,False,False,Contracted,True,red,confidence_below_amber,0.699311,0.201602,fast,True,1,0,10,1.0,0,0,0,0.5,False,False,False,218.0,0,0,0,0
ACC-1004,Renewed,Strategic,NA,True,False,False,Renewed,True,amber,confidence_below_green,0.81875,0.942858,fast,True,1,0,12,1.0,0,0,1,0.3333333333333333,False,False,False,134.2,0,0,0,0
ACC-1006,Renewed,Mid-Market,NA,True,False,False,Renewed,True,green,,0.872667,0.848545,tree_of_thought,True,1,0,3,1.0,0,0,0,0.5,True,True,False,191.8,0,0,0,0
ACC-1007,Renewed,Mid-Market,NA,True,False,False,Renewed,True,amber,confidence_below_green;retrieval_gap,0.769331,0.890945,fast,True,1,0,15,1.0,0,0,1,0.5,False,False,True,222.6,0,0,0,0
ACC-1008,Renewed,Mid-Market,NA,True,False,False,Renewed,True,amber,stale_sources,0.905726,0.917109,tree_of_thought,True,1,0,2,1.0,0,0,1,0.5,True,True,False,135.8,0,0,0,0
ACC-1009,Renewed,Enterprise,NA,False,True,False,,,red,unresolved_conflict,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,143.3,0,0,0,0
ACC-1011,Churned,Enterprise,NA,True,False,False,Churned,True,amber,confidence_below_green;stale_sources,0.79334,0.470258,fast,True,1,0,12,1.0,0,0,0,0.3333333333333333,False,False,False,148.8,0,0,0,0
ACC-1013,Renewed,Enterprise,EMEA,False,True,False,,,red,unresolved_conflict,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,140.5,0,0,0,0
