green_minimum,amber_minimum,released,auto_released,amber,red,auto_release_rate,auto_released_errors,auto_released_error_rate,review_load,review_load_rate
0.6,0.5,37,18,15,4,0.3396,3,0.1667,35,0.6604
0.6,0.55,37,18,12,7,0.3396,3,0.1667,35,0.6604
0.65,0.5,37,12,21,4,0.2264,2,0.1667,41,0.7736
0.65,0.55,37,12,18,7,0.2264,2,0.1667,41,0.7736
0.65,0.6,37,12,18,7,0.2264,2,0.1667,41,0.7736
0.7,0.5,37,7,26,4,0.1321,1,0.1429,46,0.8679
0.7,0.55,37,7,23,7,0.1321,1,0.1429,46,0.8679
0.7,0.6,37,7,23,7,0.1321,1,0.1429,46,0.8679
0.7,0.65,37,7,17,13,0.1321,1,0.1429,46,0.8679
0.75,0.5,37,4,29,4,0.0755,0,0.0,49,0.9245
0.75,0.55,37,4,26,7,0.0755,0,0.0,49,0.9245
0.75,0.6,37,4,26,7,0.0755,0,0.0,49,0.9245
0.75,0.65,37,4,20,13,0.0755,0,0.0,49,0.9245
0.75,0.7,37,4,15,18,0.0755,0,0.0,49,0.9245
0.8,0.5,37,2,31,4,0.0377,0,0.0,51,0.9623
0.8,0.55,37,2,28,7,0.0377,0,0.0,51,0.9623
0.8,0.6,37,2,28,7,0.0377,0,0.0,51,0.9623
0.8,0.65,37,2,22,13,0.0377,0,0.0,51,0.9623
0.8,0.7,37,2,17,18,0.0377,0,0.0,51,0.9623
0.85,0.5,37,0,33,4,0.0,0,,53,1.0
0.85,0.55,37,0,30,7,0.0,0,,53,1.0
0.85,0.6,37,0,30,7,0.0,0,,53,1.0
0.85,0.65,37,0,24,13,0.0,0,,53,1.0
0.85,0.7,37,0,19,18,0.0,0,,53,1.0
0.9,0.5,37,0,33,4,0.0,0,,53,1.0
0.9,0.55,37,0,30,7,0.0,0,,53,1.0
0.9,0.6,37,0,30,7,0.0,0,,53,1.0
0.9,0.65,37,0,24,13,0.0,0,,53,1.0
0.9,0.7,37,0,19,18,0.0,0,,53,1.0
