account_id,label,segment,region,released,abstained,blocked,outcome,correct,route,route_codes,confidence,margin,path,verification_passed,verification_attempts,unsupported_numeric_claims,cited_documents,citation_precision,wrong_account_citations,post_cutoff_citations,counterevidence,driver_overlap,conflict_triggered,tot_ran,retrieval_retried,latency_ms,prompt_tokens,completion_tokens,model_calls,errors
ACC-1000,Renewed,Mid-Market,EMEA,True,False,False,Renewed,True,red,confidence_below_amber,0.639527,0.459362,fast,True,1,0,13,1.0,0,0,1,0.6666666666666666,False,False,False,5507.3,0,0,0,0
ACC-1005,Renewed,Mid-Market,EMEA,True,False,False,Renewed,True,amber,confidence_below_green,0.713026,0.66936,fast,True,1,0,11,1.0,0,0,1,0.6666666666666666,False,False,False,150.2,0,0,0,0
ACC-1010,Churned,Enterprise,NA,True,False,False,Contracted,False,amber,confidence_below_green,0.718766,0.436675,tree_of_thought,True,1,0,1,1.0,0,0,0,0.5,True,True,False,138.2,0,0,0,0
ACC-1012,Renewed,Enterprise,APAC,False,True,False,,,red,unresolved_conflict,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,143.4,0,0,0,0
ACC-1015,Renewed,Mid-Market,NA,False,True,False,,,red,unresolved_conflict,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,True,216.9,0,0,0,0
ACC-1020,Expanded,Mid-Market,EMEA,True,False,False,Expanded,True,red,confidence_below_amber,0.681461,0.12203,fast,True,1,0,11,1.0,0,0,0,0.3333333333333333,False,False,False,161.2,0,0,0,0
ACC-1021,Renewed,Mid-Market,EMEA,True,False,False,Renewed,True,red,confidence_below_amber,0.528866,0.114616,fast,True,1,0,10,1.0,0,0,1,0.3333333333333333,False,False,False,137.5,0,0,0,0
ACC-1024,Expanded,Mid-Market,EMEA,True,False,False,Expanded,True,red,confidence_below_amber,0.61521,0.12203,fast,True,1,0,11,1.0,0,0,0,0.5,False,False,True,221.1,0,0,0,0
ACC-1034,Renewed,Enterprise,NA,False,True,False,,,red,unresolved_conflict,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,237.6,0,0,0,0
ACC-1039,Churned,Mid-Market,NA,True,False,False,Churned,True,amber,confidence_below_green;stale_sources,0.728245,0.284272,fast,True,1,0,14,1.0,0,0,0,0.5,False,False,False,247.4,0,0,0,0
ACC-1042,Churned,Mid-Market,NA,True,False,False,Churned,True,amber,confidence_below_green,0.799138,0.511484,fast,True,1,0,12,1.0,0,0,0,0.3333333333333333,False,False,False,186.1,0,0,0,0
ACC-1045,Churned,Strategic,EMEA,True,False,False,Churned,True,red,high_value_adverse,0.738005,0.449456,fast,True,1,0,13,1.0,0,0,0,0.3333333333333333,False,False,False,168.0,0,0,0,0
ACC-1049,Contracted,Enterprise,EMEA,True,False,False,Contracted,True,amber,confidence_below_green;stale_sources,0.819482,0.600406,tree_of_thought,True,1,0,1,1.0,0,0,0,0.3333333333333333,True,True,False,151.5,0,0,0,0
ACC-1050,Expanded,Strategic,EMEA,False,True,False,,,red,unresolved_conflict;high_value_account,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,122.0,0,0,0,0
ACC-1053,Expanded,Mid-Market,EMEA,True,False,False,Expanded,True,red,confidence_below_amber,0.649794,0.188698,fast,True,1,0,12,1.0,0,0,0,0.3333333333333333,False,False,False,149.4,0,0,0,0
ACC-1057,Renewed,Enterprise,NA,True,False,False,Renewed,True,red,confidence_below_amber,0.69,0.917109,tree_of_thought,True,1,0,3,1.0,0,0,2,0.5,True,True,False,136.8,0,0,0,0
ACC-1061,Contracted,Strategic,NA,False,True,False,,,red,unresolved_conflict;high_value_account,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,142.6,0,0,0,0
ACC-1066,Contracted,Enterprise,NA,False,True,False,,,red,unresolved_conflict,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,140.8,0,0,0,0
ACC-1069,Renewed,Enterprise,NA,True,False,False,Renewed,True,amber,stale_sources,0.854643,0.797049,tree_of_thought,True,1,0,3,1.0,0,0,0,0.5,True,True,False,146.9,0,0,0,0
ACC-1073,Churned,Enterprise,NA,True,False,False,Churned,True,amber,confidence_below_green,0.83633,0.593086,tree_of_thought,True,1,0,3,1.0,0,0,0,0.3333333333333333,True,True,False,155.8,0,0,0,0
ACC-1074,Renewed,Enterprise,NA,True,False,False,Renewed,True,amber,confidence_below_green,0.742878,0.42608,tree_of_thought,True,1,0,2,1.0,0,0,1,0.3333333333333333,True,True,False,135.4,0,0,0,0
ACC-1086,Renewed,Enterprise,APAC,False,True,False,,,red,unresolved_conflict,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,183.3,0,0,0,0
ACC-1092,Renewed,Mid-Market,NA,True,False,False,Renewed,True,amber,stale_sources,0.872667,0.848545,tree_of_thought,True,1,0,3,1.0,0,0,0,0.5,True,True,False,193.6,0,0,0,0
ACC-1099,Expanded,Mid-Market,LATAM,True,False,False,Expanded,True,amber,confidence_below_green;stale_sources,0.704794,0.188698,fast,True,1,0,13,1.0,0,0,0,0.3333333333333333,False,False,False,151.9,0,0,0,0
ACC-1101,Renewed,Enterprise,APAC,True,False,False,Renewed,True,red,confidence_below_amber,0.69,0.942858,tree_of_thought,True,1,0,3,1.0,0,0,2,0.5,True,True,False,160.2,0,0,0,0
ACC-1106,Renewed,Enterprise,EMEA,False,True,False,,,red,unresolved_conflict,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,145.5,0,0,0,0
ACC-1114,Renewed,Strategic,NA,True,False,False,Contracted,False,red,confidence_below_amber;high_value_adverse,0.624374,0.24464,tree_of_thought,True,1,0,3,1.0,0,0,3,0.5,True,True,False,167.0,0,0,0,0
ACC-1115,Contracted,Enterprise,NA,True,False,False,Churned,False,red,confidence_below_amber,0.696902,0.307564,fast,True,1,0,14,1.0,0,0,0,0.5,False,False,False,143.5,0,0,0,0
ACC-1121,Renewed,Mid-Market,NA,True,False,False,Renewed,True,red,confidence_below_amber,0.69,0.792948,tree_of_thought,True,1,0,3,1.0,0,0,2,0.5,True,True,False,196.0,0,0,0,0
ACC-1125,Renewed,Mid-Market,LATAM,False,True,False,,,red,unresolved_conflict,0.0,0.0,abstained,True,0,0,0,,0,0,0,0.0,True,True,False,312.7,0,0,0,0
ACC-1135,Churned,Strategic,NA,True,False,False,Contracted,False,red,confidence_below_amber;high_value_adverse,0.627933,0.10659,fast,True,1,0,15,1.0,0,0,0,0.3333333333333333,False,False,False,149.7,0,0,0,0
ACC-1137,Churned,Mid-Market,NA,True,False,False,Contracted,False,red,confidence_below_amber,0.619853,0.139984,fast,True,1,0,11,1.0,0,0,0,0.5,False,False,False,145.8,0,0,0,0
