green_minimum,amber_minimum,released,auto_released,amber,red,auto_release_rate,auto_released_errors,auto_released_error_rate,review_load,review_load_rate
0.6,0.5,137,69,57,11,0.3333,4,0.058,138,0.6667
0.6,0.55,137,69,54,14,0.3333,4,0.058,138,0.6667
0.65,0.5,137,53,73,11,0.256,2,0.0377,154,0.744
0.65,0.55,137,53,70,14,0.256,2,0.0377,154,0.744
0.65,0.6,137,53,61,23,0.256,2,0.0377,154,0.744
0.7,0.5,137,29,97,11,0.1401,2,0.069,178,0.8599
0.7,0.55,137,29,94,14,0.1401,2,0.069,178,0.8599
0.7,0.6,137,29,85,23,0.1401,2,0.069,178,0.8599
0.7,0.65,137,29,69,39,0.1401,2,0.069,178,0.8599
0.75,0.5,137,23,103,11,0.1111,1,0.0435,184,0.8889
0.75,0.55,137,23,100,14,0.1111,1,0.0435,184,0.8889
0.75,0.6,137,23,91,23,0.1111,1,0.0435,184,0.8889
0.75,0.65,137,23,75,39,0.1111,1,0.0435,184,0.8889
0.75,0.7,137,23,51,63,0.1111,1,0.0435,184,0.8889
0.8,0.5,137,14,112,11,0.0676,0,0.0,193,0.9324
0.8,0.55,137,14,109,14,0.0676,0,0.0,193,0.9324
0.8,0.6,137,14,100,23,0.0676,0,0.0,193,0.9324
0.8,0.65,137,14,84,39,0.0676,0,0.0,193,0.9324
0.8,0.7,137,14,60,63,0.0676,0,0.0,193,0.9324
0.85,0.5,137,6,120,11,0.029,0,0.0,201,0.971
0.85,0.55,137,6,117,14,0.029,0,0.0,201,0.971
0.85,0.6,137,6,108,23,0.029,0,0.0,201,0.971
0.85,0.65,137,6,92,39,0.029,0,0.0,201,0.971
0.85,0.7,137,6,68,63,0.029,0,0.0,201,0.971
0.9,0.5,137,2,124,11,0.0097,0,0.0,205,0.9903
0.9,0.55,137,2,121,14,0.0097,0,0.0,205,0.9903
0.9,0.6,137,2,112,23,0.0097,0,0.0,205,0.9903
0.9,0.65,137,2,96,39,0.0097,0,0.0,205,0.9903
0.9,0.7,137,2,72,63,0.0097,0,0.0,205,0.9903
