account_id,arm,route,released,outcome,label,correct,drivers,driver_overlap,verified_first_time,conflict_triggered,conflict_severity,tot_ran,latency_ms,prompt_tokens,completion_tokens
ACC-1002,linear,amber,True,Renewed,Renewed,True,"('avg_closed_csat_26w', 'adverse_events_2q', 'onboarding_incomplete', 'avg_note_sentiment_26w', 'support_escalation_rate', 'adoption_level_last_q')",0.5,True,True,moderate,False,144.83229200413916,0,0
ACC-1006,linear,green,True,Renewed,Renewed,True,"('avg_closed_csat_26w', 'avg_ticket_sentiment_26w', 'adverse_events_2q', 'favorable_events_2q', 'onboarding_incomplete', 'sponsor_change')",0.5,True,True,low,False,213.0087920013466,0,0
ACC-1008,linear,amber,True,Renewed,Renewed,True,"('adoption_level_last_q', 'avg_note_sentiment_26w', 'adverse_events_2q', 'onboarding_incomplete', 'active_users_delta_13w', 'avg_closed_csat_26w')",0.5,True,True,moderate,False,189.59600000380306,0,0
ACC-1009,linear,amber,True,Renewed,Renewed,True,"('adoption_level_last_q', 'adverse_events_2q', 'avg_closed_csat_26w', 'onboarding_incomplete', 'avg_note_sentiment_26w', 'active_users_delta_13w')",0.3333333333333333,True,True,moderate,False,134.40916699619265,0,0
ACC-1013,linear,red,True,Renewed,Renewed,True,"('avg_closed_csat_26w', 'adoption_level_last_q', 'adverse_events_2q', 'onboarding_incomplete', 'avg_note_sentiment_26w', 'avg_ticket_sentiment_26w')",0.16666666666666666,True,True,low,False,167.24937500111992,0,0
ACC-1014,linear,amber,True,Renewed,Renewed,True,"('favorable_events_2q', 'adverse_events_2q', 'adoption_level_last_q', 'open_high_priority_count', 'onboarding_incomplete', 'sponsor_change')",0.5,True,True,moderate,False,176.57079199852888,0,0
ACC-1016,linear,red,True,Renewed,Renewed,True,"('adoption_level_last_q', 'avg_closed_csat_26w', 'adverse_events_2q', 'adoption_trend_13w', 'favorable_events_2q', 'onboarding_incomplete')",0.5,True,True,moderate,False,249.4799999985844,0,0
ACC-1017,linear,red,True,Expanded,Expanded,True,"('product_breadth', 'avg_ticket_sentiment_26w', 'advanced_feature_depth', 'avg_closed_csat_26w', 'high_priority_share_26w', 'adverse_events_2q')",0.3333333333333333,True,True,moderate,False,139.26558299863245,0,0
ACC-1025,linear,red,True,Renewed,Renewed,True,"('adoption_level_last_q', 'avg_closed_csat_26w', 'adverse_events_2q', 'open_high_priority_count', 'onboarding_incomplete', 'avg_note_sentiment_26w')",0.5,True,True,low,False,243.5386249999283,0,0
ACC-1028,linear,amber,True,Renewed,Renewed,True,"('adoption_level_last_q', 'support_escalation_rate', 'avg_closed_csat_26w', 'adverse_events_2q', 'favorable_events_2q', 'onboarding_incomplete')",0.6666666666666666,True,True,moderate,False,136.93100000091363,0,0
ACC-1029,linear,red,True,Churned,Churned,True,"('support_escalation_rate', 'adverse_events_2q', 'avg_note_sentiment_26w', 'open_high_priority_count', 'avg_closed_csat_26w', 'adoption_level_last_q')",0.5,True,True,low,False,163.80224999738857,0,0
ACC-1030,linear,red,True,Contracted,Contracted,True,"('open_high_priority_count', 'sponsor_change', 'product_breadth', 'advanced_feature_depth', 'adverse_events_2q', 'avg_note_sentiment_26w')",0.5,True,True,low,False,170.55524999886984,0,0
ACC-1031,linear,red,True,Expanded,Expanded,True,"('adoption_trend_13w', 'advanced_feature_depth', 'avg_ticket_sentiment_26w', 'adverse_events_2q', 'avg_note_sentiment_26w', 'adoption_level_last_q')",0.6666666666666666,True,True,low,False,221.31645800254773,0,0
ACC-1032,linear,red,True,Renewed,Contracted,False,"('adoption_level_last_q', 'onboarding_incomplete', 'avg_closed_csat_26w', 'favorable_events_2q', 'adverse_events_2q', 'avg_note_sentiment_26w')",0.6666666666666666,True,True,low,False,150.32175000669667,0,0
ACC-1033,linear,amber,True,Renewed,Renewed,True,"('adoption_level_last_q', 'adverse_events_2q', 'onboarding_incomplete', 'avg_ticket_sentiment_26w', 'avg_note_sentiment_26w', 'avg_closed_csat_26w')",0.5,True,True,low,False,150.2284999951371,0,0
ACC-1036,linear,red,True,Renewed,Renewed,True,"('avg_closed_csat_26w', 'adoption_level_last_q', 'avg_ticket_sentiment_26w', 'adverse_events_2q', 'onboarding_incomplete', 'sponsor_change')",0.6666666666666666,True,True,low,False,153.92354099458316,0,0
ACC-1038,linear,red,True,Renewed,Renewed,True,"('adoption_level_last_q', 'avg_closed_csat_26w', 'adverse_events_2q', 'onboarding_incomplete', 'avg_note_sentiment_26w', 'support_escalation_rate')",0.5,True,True,severe,False,183.48079200222855,0,0
ACC-1043,linear,red,True,Expanded,Expanded,True,"('product_breadth', 'advanced_feature_depth', 'avg_ticket_sentiment_26w', 'avg_closed_csat_26w', 'adverse_events_2q', 'avg_note_sentiment_26w')",0.5,True,True,moderate,False,132.40258299629204,0,0
ACC-1046,linear,green,True,Churned,Churned,True,"('support_escalation_rate', 'avg_note_sentiment_26w', 'adverse_events_2q', 'adoption_level_last_q', 'avg_closed_csat_26w', 'active_users_delta_6w')",0.5,True,True,moderate,False,172.49629200523486,0,0
ACC-1051,linear,red,True,Renewed,Renewed,True,"('adoption_level_last_q', 'adverse_events_2q', 'avg_closed_csat_26w', 'onboarding_incomplete', 'support_escalation_rate', 'avg_note_sentiment_26w')",0.3333333333333333,True,True,low,False,148.65216700127348,0,0
ACC-1054,linear,red,True,Expanded,Expanded,True,"('advanced_feature_depth', 'avg_ticket_sentiment_26w', 'avg_closed_csat_26w', 'avg_note_sentiment_26w', 'product_breadth', 'adoption_trend_13w')",0.5,True,True,low,False,129.81595800374635,0,0
ACC-1055,linear,amber,True,Renewed,Renewed,True,"('onboarding_incomplete', 'adoption_level_last_q', 'avg_closed_csat_26w', 'adverse_events_2q', 'high_priority_share_26w', 'support_escalation_rate')",0.5,True,True,low,False,189.3425419984851,0,0
ACC-1060,linear,red,True,Renewed,Contracted,False,"('avg_closed_csat_26w', 'sponsor_lost', 'adoption_level_last_q', 'support_escalation_rate', 'avg_note_sentiment_26w', 'adverse_events_2q')",0.6666666666666666,True,True,moderate,False,155.7633740012534,0,0
ACC-1064,linear,red,True,Renewed,Renewed,True,"('avg_closed_csat_26w', 'adoption_level_last_q', 'avg_ticket_sentiment_26w', 'avg_note_sentiment_26w', 'adverse_events_2q', 'favorable_events_2q')",0.5,True,True,severe,False,174.41587500070455,0,0
ACC-1067,linear,red,True,Expanded,Expanded,True,"('avg_note_sentiment_26w', 'product_breadth', 'advanced_feature_depth', 'adverse_events_2q', 'adoption_trend_13w', 'high_priority_share_26w')",0.3333333333333333,True,True,severe,False,158.17620800225995,0,0
ACC-1071,linear,red,True,Renewed,Expanded,False,"('adoption_level_last_q', 'avg_closed_csat_26w', 'adverse_events_2q', 'adoption_trend_13w', 'active_users_delta_13w', 'open_high_priority_count')",0.5,True,True,low,False,161.65149999869755,0,0
ACC-1077,linear,amber,True,Renewed,Renewed,True,"('adoption_trend_13w', 'adverse_events_2q', 'onboarding_incomplete', 'sponsor_change', 'support_escalation_rate', 'avg_ticket_sentiment_26w')",0.5,True,True,low,False,138.02025000040885,0,0
